title,date,location,link,lat,lon
"Donald J. Trump: Remarks at the Roberts Centre in Wilmington, Ohio",1-Sep-16,"Wilmington, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119198,39.445339,-83.828537
"Donald J. Trump: Remarks at a Rally at the New Hampshire Sportsplex in Bedford, New Hampshire",29-Sep-16,"Bedford, New Hampshire",http://www.presidency.ucsb.edu/ws/index.php?pid=119202,42.946329,-71.513201
Donald J. Trump: Remarks at a Rally at the University of North Carolina in Wilmington,9-Aug-16,"Wilmington, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=122534,34.225726,-77.94471
"Donald J. Trump: Remarks on Obamacare in Valley Forge, Pennsylvania",1-Nov-16,"Valley Forge, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=122535,40.098985,-75.469097
"Donald J. Trump: Remarks at J.S Dorton Arena in Raleigh, North Carolina",7-Nov-16,"Raleigh, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=122536,35.77959,-78.638179
"Donald J. Trump: Remarks at Macomb Community College South Campus in Warren, Michigan",31-Oct-16,"Warren, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=122537,42.514457,-83.014653
"Donald J. Trump: Remarks at the US Cellular Center in Asheville, North Carolina",12-Sep-16,"Asheville, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119178,35.595058,-82.551487
"Donald J. Trump: Remarks at the Reno-Sparks Convention Center in Reno, Nevada",5-Oct-16,"Reno, Nevada",http://www.presidency.ucsb.edu/ws/index.php?pid=119170,39.529633,-119.813803
"Donald J. Trump: Remarks at the Norris-Penrose Event Center in Colorado Springs, Colorado",18-Oct-16,"Colorado Springs, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=123516,38.833882,-104.821363
"Donald J. Trump: Remarks at Youngstown State University in Youngstown, Ohio",15-Aug-16,"Youngstown, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119503,41.09978,-80.649519
"Donald J. Trump: Remarks on Immigration at the Phoenix Convention Center in Phoenix, Arizona",31-Aug-16,"Phoenix, Arizona",http://www.presidency.ucsb.edu/ws/index.php?pid=119805,33.448377,-112.074037
"Donald J. Trump: Remarks at the Budweiser Events Center in Loveland, Colorado",3-Oct-16,"Loveland, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=119167,40.397761,-105.07498
"Donald J. Trump: Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio",14-Sep-16,"Canton, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119190,40.798947,-81.378447
"Donald J. Trump: Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire ",15-Oct-16,"Portsmouth, New Hampshire ",http://www.presidency.ucsb.edu/ws/index.php?pid=119174,43.071755,-70.762553
"Donald J. Trump: Remarks at Erie Insurance Arena in Erie, Pennsylvania",12-Aug-16,"Erie, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=123515,42.129224,-80.085059
"Donald J. Trump: Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina",26-Oct-16,"Charlotte, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119188,35.229173,-80.83991
"Donald J. Trump: Remarks at the Union League of Philadelphia in Philadelphia, Pennsylvania",7-Sep-16,"Philadelphia, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119177,39.952584,-75.165222
"Donald J. Trump: Remarks at the Cross Insurance Center in Bangor, Maine",15-Oct-16,"Bangor, Maine",http://www.presidency.ucsb.edu/ws/index.php?pid=119172,44.801182,-68.777814
"Donald J. Trump: Remarks at the Renaissance Hotel in Columbus, Ohio",13-Oct-16,"Columbus, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119173,39.961176,-82.998794
"Donald J. Trump: Remarks at the Central Florida Fairgrounds in Orlando, Florida",2-Nov-16,"Orlando, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=123513,28.538335,-81.379236
"Donald J. Trump: Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida",11-Oct-16,"Panama City, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119171,30.158813,-85.660206
"Donald J. Trump: Remarks at Luedecke Arena in Austin, Texas",23-Aug-16,"Austin, Texas",http://www.presidency.ucsb.edu/ws/index.php?pid=119176,30.267153,-97.743061
Donald J. Trump: Remarks to the Economic Club of New York at the Waldorf Astoria in New York City,15-Sep-16,New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=119209,40.759465,-73.969745
