"","sentiment","fre_score","word_count","ISIS_prop","economy_prop","healthcare_prop","Immigration_trade_prop","Washington_prop","trump_over_romney"
"1",0.273239436619718,4.9525965990001,7847,0.00191155855741048,0.00267618198037467,0.00101949789728559,0.00726392251815981,0.000637186185803492,0.02
"2",-0.0875,9.01703032623028,2589,0.00579374275782155,0,0,0,0.00231749710312862,-0.03
"3",0.0792452830188679,9.4295701535907,3955,0.00505689001264223,0.00353982300884956,0,0.00379266750948167,0.004551201011378,-0.03
"4",-0.127962085308057,11.366209839612,3179,0.00723497955331865,0,0,0.0069204152249135,0.0106951871657754,0.00999999999999995
"5",-0.092896174863388,10.6545859977045,3515,0.00284495021337127,0.0042674253200569,0.00085348506401138,0.00796586059743954,0.0199146514935989,0.02
"6",-0.0659340659340659,11.6910905193187,2636,0.000379362670713202,0.00113808801213961,0.00493171471927162,0.000758725341426404,0.00796661608497724,-0.02
"7",0.310606060606061,5.69416070828542,5005,0.0013986013986014,0.004995004995005,0.0001998001998002,0.0037962037962038,0.0045954045954046,0.02
"8",0.0723192019950125,9.07089855099001,5608,0.00267475035663338,0.00356633380884451,0.000713266761768902,0.00463623395149786,0.00463623395149786,0.04
"9",-0.0199637023593466,4.76908810803547,12055,0.00182496889257569,0.00141020323517213,0.000663625051845707,0.00265450020738283,0.0062214848610535,0
"10",-0.212765957446809,11.3472586083016,2181,0,0.0073360843649702,0.0036680421824851,0.0073360843649702,0.0142136634571298,0.02
"11",-0.00591715976331361,10.9181786333514,3945,0.000760456273764259,0.0162230671736375,0.00126742712294043,0.0055766793409379,0.0136882129277567,0.03
"12",0.25,5.58130772998358,8905,0.00134755755193711,0.00437956204379562,0.000224592925322852,0.00247052217855138,0.0047164514317799,0.01
"13",0.372950819672131,4.69957550184116,9446,0.000635189498200296,0.00465805632013551,0.000952784247300445,0.00582257040016938,0.00518738090196909,0.02
"14",-0.283116883116883,10.0462760066663,5689,0.0094920021093338,0.00035155563367903,0.00035155563367903,0.00246088943575321,0.00580066795570399,0.04
"15",-0.196172248803828,9.81876494810304,3140,0,0.00318471337579618,0.000955414012738854,0.00254777070063694,0.00828025477707006,0.02
"16",-0.189189189189189,9.61865704864916,3372,0.00118623962040332,0.00504151838671412,0.00237247924080664,0.00563463819691578,0.012158956109134,0.01
"17",0.121212121212121,7.8554912385802,4957,0.00221908412346177,0.00867460157353238,0.000806939681258826,0.00605204760944119,0.00847286665321767,0.03
"18",-0.152,9.52837732919255,2409,0,0.0016604400166044,0.0012453300124533,0.0012453300124533,0.0203403902034039,-0.0399999999999999
"19",-0.0180505415162455,10.3836522566016,5192,0.00231124807395994,0.00654853620955316,0.000963020030816641,0.00308166409861325,0.00963020030816641,0.0299999999999999
"20",0.0689655172413793,9.78870490683915,2063,0.00145419292292777,0.00824042656325739,0.000484730974309258,0.00630150266602036,0.0140571982549685,-0.03
"21",0.0715935334872979,7.94543920997046,7552,0.000926906779661017,0.00211864406779661,0.000264830508474576,0.0101959745762712,0.0055614406779661,-0.04
"22",0.125,10.0860486322188,1538,0.00130039011703511,0.0130039011703511,0.00195058517555267,0.00975292587776333,0.0123537061118336,0.04
